सच्ची	[4450:4976]
दाखलता	[4975:5491]
मैं	[5535:5750]
हूं	[5766:6058]
और	[6510:6770]
मेरा	[6771:7134]
पिता	[7134:7514]
किसान	[7582:8036]
है	[8037:8223]
जो	[8818:9108]
डाली	[9109:9474]
मुझ	[9475:9882]
में	[9883:9996]
है	[9997:10108]
और	[10142:10463]
नहीं	[10464:10657]
फलती	[10658:11140]
उसे	[11515:11832]
वह	[11833:12087]
काट	[12088:12412]
डालता	[12413:12700]
है	[12701:13035]
और	[13474:13716]
जो	[13717:13939]
फलती	[13940:14375]
है	[14376:14613]
उसे	[14923:15233]
वह	[15244:15445]
छांटता	[15478:16001]
है	[16002:16119]
ताकि	[16148:16504]
और	[16530:16782]
फले	[16800:17135]
तुम	[17956:18252]
तो	[18253:18504]
उस	[18511:18785]
वचन	[18786:19203]
के	[19204:19361]
कारण	[19362:19765]
जो	[20204:20428]
मैं	[20429:20601]
ने	[20602:20788]
तुम	[20789:21010]
से	[21011:21184]
कहा	[21184:21465]
है	[21467:21754]
शुद्ध	[21847:22236]
हो	[22237:22532]
तुम	[23058:23353]
मुझ	[23354:23559]
में	[23560:23800]
बने	[23801:24139]
रहो	[24140:24164]
और	[24564:24770]
मैं	[24780:24830]
तुम	[24831:25518]
में     [25520:25609]
जैसे	[26158:26551]
डाली	[26552:27041]
यदि	[27042:27314]
दाखलता	[27315:28000]
में	[28001:28193]
बनी	[28194:28453]
न	[28454:28575]
रहे	[28576:28784]
तो	[29282:29491]
अपने	[29492:29896]
आप	[29921:30181]
से	[30182:30616]
नहीं	[30912:31265]
फल	[31266:31495]
सकती	[31496:31978]
वैसे	[32353:32670]
ही	[32671:33131]
तुम	[33246:33477]
भी	[33478:33729]
यदि	[33730:34004]
मुझ	[34205:34486]
में	[34487:34861]
बने	[35149:35538]
न	[35539:35826]
रहो	[35827:36150]
तो	[36561:36691]
नहीं	[36692:36993]
फल	[36994:37217]
सकते	[37217:37620]
में	[38204:38406]
दाखलता	[38407:38960]
हूं	[38961:39249]
तुम	[39350:39595]
डालियां	[39596:39991]
हो	[39992:40214]
जो	[40697:40928]
मुझ	[40985:41158]
में	[41173:41330]
बना	[41331:41734]
रहता	[41735:41834]
है	[41835:42196]
और	[42426:42801]
मैं	[42802:42988]
उस	[43017:43277]
में	[43278:43579]
वह	[43911:44242]
बहुत	[44243:44473]
फल	[44478:44847]
फलता	[44848:45251]
है	[45252:45453]
क्योंकि	[45871:46300]
मुझ	[46301:46547]
से	[46548:46778]
अलग	[46779:47152]
होकर	[47153:47600]
तुम	[47831:48119]
कुछ	[48120:48393]
भी	[48394:48565]
नहीं	[48566:48839]
कर	[48840:48998]
सकते	[48999:49445]
यदि	[49992:50352]
कोई	[50353:50583]
मुझ	[50584:50756]
में	[50757:51044]
बना	[51045:51433]
न	[51434:51736]
रहे	[52011:52010]
तो	[52645:52644]
वह	[53048:53047]
डाली 	[53279:53278]
की 	[53308:53307]
नाईं	[53308:53509]
फेंक	[53510:53826]
दिया	[53827:54085]
जाता	[54086:54532]
और	[54906:55281]
सूख 	[55282:55641]
जाता	[55642:56103]
है	[56104:56261]
और	[56578:56837]
लोग	[56838:57082]
उन्हें	[57083:57400]
बटोरकर	[57401:58048]
आग 	[58365:58711]
में 	[58712:59042]
झोंक	[59310:59647]
देते	[59648:60066]
हैं	[60067:60311]

